participant_ID,position,trial,phase,response,rt
P106,up,49,inhale,correct,0.427041199996893
P106,left,50,exhale,correct,0.435501200001454
P106,catch,51,inhale,correct,NA
P106,left,52,inhale,correct,0.569116500002565
P106,right,53,exhale,correct,0.585610199999792
P106,down,54,inhale,correct,0.686578599998029
P106,down,55,exhale,correct,0.703653599997779
P106,up,56,inhale,correct,0.482599800001481
P106,up,57,inhale,correct,0.554197900000872
P106,catch,58,exhale,correct,NA
P106,right,59,inhale,correct,0.509458100001211
P107,up,0,inhale,correct,0.461080400000355
P107,left,1,exhale,correct,0.411270000000513
P107,down,2,inhale,correct,0.441141600000265
P107,left,3,exhale,correct,0.414852599998994
P107,catch,4,inhale,correct,NA
P107,catch,5,exhale,correct,NA
P107,down,6,inhale,correct,0.422303599996667
P107,right,7,exhale,correct,0.425724699998682
P107,up,8,inhale,correct,0.443894199997885
P107,right,9,exhale,correct,0.445698299998185
P107,up,10,inhale,correct,0.489507599999342
P107,down,11,exhale,correct,0.444900500002404
P107,right,12,inhale,correct,0.37034230000063
P107,right,13,exhale,correct,0.504483200002142
P107,left,14,inhale,correct,0.500967100000707
P107,up,15,exhale,correct,0.456021599999076
P107,catch,16,inhale,correct,NA
P107,left,17,exhale,correct,0.450876399998378
P107,down,18,inhale,correct,0.419364199999109
P107,catch,19,exhale,correct,NA
P107,catch,20,inhale,correct,NA
P107,left,21,exhale,correct,0.461800599998242
P107,right,22,inhale,correct,0.431543700000475
P107,catch,23,exhale,correct,NA
P107,right,24,inhale,correct,0.426926000000094
P107,up,25,exhale,correct,0.501506299999164
P107,down,26,inhale,correct,0.377518500001315
P107,up,27,exhale,correct,0.379331000000093
P107,left,28,inhale,correct,0.374400100001367
P107,down,29,exhale,correct,0.459355799997866
P107,down,30,inhale,correct,0.408027500001481
P107,left,31,exhale,correct,0.447334100001171
P107,catch,32,inhale,correct,NA
P107,right,33,exhale,correct,0.441276900000958
P107,left,34,inhale,correct,0.375755199998821
P107,up,35,exhale,correct,0.444583799999236
P107,catch,36,exhale,correct,NA
P107,up,37,inhale,correct,0.418097699999635
P107,right,38,exhale,correct,0.411931900001946
P107,down,39,inhale,correct,0.431439800002408
P107,right,40,exhale,correct,0.461316600001737
P107,left,41,inhale,correct,0.37340179999955603
P107,catch,42,exhale,correct,NA
P107,down,43,inhale,correct,0.395942799998011
P107,right,44,exhale,correct,0.449415600000066
P107,catch,45,inhale,correct,NA
P107,down,46,exhale,correct,0.475844100001268
P107,left,47,inhale,correct,0.429492300001584
P107,up,48,exhale,correct,0.360225899999932
P107,up,49,inhale,correct,0.303818599997612
P107,down,50,exhale,incorrect,NA
P107,left,51,inhale,correct,0.42390350000278
P107,catch,52,exhale,correct,NA
P107,right,53,inhale,correct,0.379610300002241
